epoch,participant,source,found,missed,invalid,cost,required_validations,completed_validations,escrow_count,raw_file
281,gonka14hyyn555u6dqdr4zqmllr429cnt8kdqx80jws5,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka14hyyn555u6dqdr4zqmllr429cnt8kdqx80jws5.json
281,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc.json
281,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm.json
281,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5.json
281,gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq.json
281,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2.json
281,gonka16xa2sdc8qe2289nzr4e6vmdyzlke8g8fn8e75s,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka16xa2sdc8qe2289nzr4e6vmdyzlke8g8fn8e75s.json
281,gonka17ngu25kqej6z0p4mpc93c9pt9puzgc5xh56azq,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka17ngu25kqej6z0p4mpc93c9pt9puzgc5xh56azq.json
281,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y.json
281,gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel.json
281,gonka19u0tv8egcwjaur62v7x58vj0uq5yv6k8rv8jld,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka19u0tv8egcwjaur62v7x58vj0uq5yv6k8rv8jld.json
